BGME,GME,BME
1.6427265770841226,1.6749286871015967,2.1410167451151962
2.218611189195247,1.9798539291790525,1.9972622700216305
3.6566166474432222,3.649127805756729,3.094262244807165
4.188713341631307,5.6619878449399454,3.6431982153038764
4.300510692585657,3.9598338698546494,3.158976598501376
2.0314903026046176,3.4290060514853242,15.840011535310138
6.641377034307793,7.70793776996094,6.752125186723388
2.96084911801298,3.0331157218884672,3.1761789066264394
2.5949516916355697,2.5427514295040963,4.36018606884762
10.88416400354268,10.723021856213302,11.217222253830796
3.152932784044343,2.893268919128034,2.050433571635449
2.5306683712123843,2.6107548298664383,2.119857898284877
4.962618135126582,5.368392163256846,5.73791190090498
2.7675945676092533,3.6325927144504573,2.691777101141324
2.1882359477600417,3.721811256810883,4.009591743035273
2.426941879229033,2.40514344428877,2.7171778776266935
5.108146833412647,5.029256612513258,3.7536597923120727
1.4366699353330803,0.5988066229799346,1.5827312248495924
4.513142667709788,4.461501630110277,8.490841729559277
1.4171916288350415,2.073311868874348,2.5321588262225423
