BGME,GME,BME
0.8188854759196484,0.8447649399286346,0.8189874379579255
0.9570956969662796,0.9684460960656207,0.9561608842497327
0.6953526219753952,0.6792187309295393,0.6884500497912921
0.9293583217978206,0.9661072676039197,0.8909528123920124
0.8792129860972406,0.8303837456506332,0.7813916457224224
0.90819969273134,0.8998353913493822,0.8979306842262551
0.8290187562458474,0.8334527905308292,0.8623571464210016
0.7958554259268995,0.7806779816326503,0.8253477493918555
0.7806005892921802,0.7728100823662158,0.7007039893660847
0.853383025037258,0.8317093376492123,0.8218769535099049
0.8990806767818531,0.8835692269163611,0.873196729655118
0.9634744924117813,0.9521144667258211,0.8837371897298892
0.944954370249493,0.9240542736843238,0.898142921280984
-0.019122726208079754,-0.01604802462646293,-0.043202236721462395
0.8564924959527127,0.845034872964874,0.8533358500833687
0.9688817337918727,0.9566073632064619,0.9492557247902766
0.9020017632288674,0.9153604813345024,0.8685709338624912
0.8705587090751374,0.8663002582555921,0.8340333993546765
0.9261871488486351,0.9483007455300505,0.885231932431414
0.7538166072624296,0.7833908433890139,0.7853347684777645
0.908849008308048,0.9064762339904215,0.8243465568904008
0.8541818562189052,0.8585370275819204,0.8744127437982864
0.38200253173081267,0.58378124325946,0.6185689150121467
0.8734372387228768,0.8489867877119732,0.8819245456265309
0.930776350808761,0.9200312984701617,0.9377464795097255
0.5672510898254776,0.5488325657870736,0.719009912966385
0.9076922402171431,0.8807351705994999,0.8659554549310785
0.9494539335300645,0.9476887185962294,0.9259505885399062
0.8391118263601284,0.803974101000416,0.8247923345233973
0.9111988778765062,0.9149480089589554,0.8978827383503452
0.8180002413049653,0.8034955015887811,0.8306449838106971
0.929172315827815,0.9050324850104096,0.8965719804874118
0.9299543118179031,0.9256645402235244,0.9027913622811804
0.9020794206039486,0.8980176980212827,0.8613824443927938
0.9120304854072324,0.9022587843279198,0.9037332579504996
0.9890551854875086,0.9894471316881106,0.9626288117248877
0.9580589454442547,0.9599148145217292,0.9483912080430962
