BGME,GME,BME
1.2816889548888695,1.2941903596850026,1.463221358891127
1.4895003152719528,1.4070728229836054,1.4132452971871623
1.9122281891665602,1.9102690401502949,1.7590515185198996
2.0466346380415112,2.3794931907740238,1.9087163789583503
2.073767270593703,1.9899331320058595,1.7773510059921693
1.4253035826113039,1.851757557426275,3.9799511976040782
2.5770869279688244,2.7763173035445607,2.5984851715419484
1.7207118056237598,1.7415842563276884,1.782183746594733
1.6108853750765664,1.5946007116215948,2.0881058567150323
3.2991156396135435,3.2746025493505777,3.349212184056244
1.775649961012683,1.700961175079559,1.4319335081055438
1.5908074588750156,1.61578303923096,1.4559731791090373
2.2276934562741304,2.31697910289602,2.395393892641663
1.6636088986325042,1.9059361779583432,1.6406636160838466
1.4792687206048947,1.9291996415122212,2.002396499955809
1.5578645253131072,1.5508524895323765,1.6483864466886076
2.2601209776055455,2.242600413027978,1.9374363969720587
1.1986116699469767,0.7738259642709946,1.258066462810925
2.1244158415220378,2.1122266995070103,2.913904893705228
1.190458579218547,1.4398999509946335,1.5912758485638316
